timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1618577571984,872,api/occupations,200,OK,PELAPORAN STAGING 1-82,text,true,,2383,668,11,11,https://pikobar-pelaporan-api.digitalservice.id/api/occupations,872,0,0
1618577572383,528,api/areas/district-city,200,OK,PELAPORAN STAGING 1-85,text,true,,2395,676,11,11,https://pikobar-pelaporan-api.digitalservice.id/api/areas/district-city,528,0,0
1618577570397,2523,api/map?kode_kab=32.17,200,OK,PELAPORAN STAGING 1-78,text,true,,583603,690,11,11,https://pikobar-pelaporan-api.digitalservice.id/api/map?kode_kab=32.17&kode_kab=32.17,541,0,0
1618577562465,10450,LOAD TEST ENDPOINT STAGING,200,"Number of samples in transaction : 10, number of failing samples : 0",PELAPORAN STAGING 1-78,,true,,994615,7101,11,11,null,6386,5,419
1618577571502,1496,api/cases,200,OK,PELAPORAN STAGING 1-83,text,true,,209567,861,10,10,https://pikobar-pelaporan-api.digitalservice.id/api/cases?end_date=&verified_status=verified&final_result=&address_village_code=&sort=updatedAt%3Adesc&address_subdistrict_code=&address_district_code=32.71&search=&stage=&limit=100&page=1&status=&start_date=,1029,0,0
1618577572590,482,api/occupations,200,OK,PELAPORAN STAGING 1-80,text,true,,2389,668,10,10,https://pikobar-pelaporan-api.digitalservice.id/api/occupations,482,0,0
1618577572112,1040,api/map?kode_kab=32.17,200,OK,PELAPORAN STAGING 1-79,text,true,,583597,690,10,10,https://pikobar-pelaporan-api.digitalservice.id/api/map?kode_kab=32.17&kode_kab=32.17,437,0,0
1618577563466,9684,LOAD TEST ENDPOINT STAGING,200,"Number of samples in transaction : 10, number of failing samples : 0",PELAPORAN STAGING 1-79,,true,,994606,7101,10,10,null,8347,2,421
1618577571465,1882,api/login,200,OK,PELAPORAN STAGING 1-87,text,true,,1921,721,9,9,https://pikobar-pelaporan-api.digitalservice.id/api/login,1882,0,421
1618577572466,1101,api/login,200,OK,PELAPORAN STAGING 1-88,text,true,,1919,721,10,10,https://pikobar-pelaporan-api.digitalservice.id/api/login,1101,0,466
1618577572999,613,api/occupations,200,OK,PELAPORAN STAGING 1-83,text,true,,2383,668,10,10,https://pikobar-pelaporan-api.digitalservice.id/api/occupations,613,0,0
1618577573073,539,api/country,200,OK,PELAPORAN STAGING 1-80,text,true,,9547,664,10,10,https://pikobar-pelaporan-api.digitalservice.id/api/country,539,0,0
1618577572782,839,api/areas/sub-district/32.17,200,OK,PELAPORAN STAGING 1-86,text,true,,2528,681,10,10,https://pikobar-pelaporan-api.digitalservice.id/api/areas/sub-district/32.17,832,0,0
1618577572856,908,api/country,200,OK,PELAPORAN STAGING 1-82,text,true,,9547,664,10,10,https://pikobar-pelaporan-api.digitalservice.id/api/country,908,0,0
1618577573348,447,api/users/info,200,OK,PELAPORAN STAGING 1-87,text,true,,1755,667,10,10,https://pikobar-pelaporan-api.digitalservice.id/api/users/info,445,0,0
1618577572487,1400,api/map?kode_kab=32.17,200,OK,PELAPORAN STAGING 1-81,text,true,,583589,690,10,10,https://pikobar-pelaporan-api.digitalservice.id/api/map?kode_kab=32.17&kode_kab=32.17,491,0,0
1618577565465,8416,LOAD TEST ENDPOINT STAGING,200,"Number of samples in transaction : 10, number of failing samples : 0",PELAPORAN STAGING 1-81,,true,,994590,7101,10,10,null,5920,6,577
1618577573568,451,api/users/info,200,OK,PELAPORAN STAGING 1-88,text,true,,1747,667,9,9,https://pikobar-pelaporan-api.digitalservice.id/api/users/info,451,0,0
1618577573613,420,api/cases-summary,200,OK,PELAPORAN STAGING 1-80,text,true,,1124,788,9,9,https://pikobar-pelaporan-api.digitalservice.id/api/cases-summary?address_district_code=32.17&max_date=&min_date=&final_result=&address_village_code=&address_subdistrict_code=&status=,420,0,0
1618577573613,425,api/country,200,OK,PELAPORAN STAGING 1-83,text,true,,9549,664,9,9,https://pikobar-pelaporan-api.digitalservice.id/api/country,425,0,0
1618577572911,1134,api/areas/hospital,200,OK,PELAPORAN STAGING 1-85,text,true,,179793,685,9,9,https://pikobar-pelaporan-api.digitalservice.id/api/areas/hospital?rs_jabar=true,633,0,0
1618577573621,449,api/areas/district-city,200,OK,PELAPORAN STAGING 1-86,text,true,,2395,676,9,9,https://pikobar-pelaporan-api.digitalservice.id/api/areas/district-city,446,0,0
1618577572644,1506,api/cases,200,OK,PELAPORAN STAGING 1-84,text,true,,209565,861,9,9,https://pikobar-pelaporan-api.digitalservice.id/api/cases?end_date=&verified_status=verified&final_result=&address_village_code=&sort=updatedAt%3Adesc&address_subdistrict_code=&address_district_code=32.71&search=&stage=&limit=100&page=1&status=&start_date=,1090,0,0
1618577573765,402,api/cases-summary,200,OK,PELAPORAN STAGING 1-82,text,true,,1116,788,9,9,https://pikobar-pelaporan-api.digitalservice.id/api/cases-summary?address_district_code=32.17&max_date=&min_date=&final_result=&address_village_code=&address_subdistrict_code=&status=,402,0,0
1618577573795,469,api/areas/sub-district/32.17,200,OK,PELAPORAN STAGING 1-87,text,true,,2530,681,9,9,https://pikobar-pelaporan-api.digitalservice.id/api/areas/sub-district/32.17,467,0,0
1618577573465,934,api/login,200,OK,PELAPORAN STAGING 1-89,text,true,,1917,721,9,9,https://pikobar-pelaporan-api.digitalservice.id/api/login,934,0,397
1618577574019,454,api/areas/sub-district/32.17,200,OK,PELAPORAN STAGING 1-88,text,true,,2526,681,10,10,https://pikobar-pelaporan-api.digitalservice.id/api/areas/sub-district/32.17,452,0,0
1618577574038,461,api/cases-summary,200,OK,PELAPORAN STAGING 1-83,text,true,,1116,788,10,10,https://pikobar-pelaporan-api.digitalservice.id/api/cases-summary?address_district_code=32.17&max_date=&min_date=&final_result=&address_village_code=&address_subdistrict_code=&status=,461,0,0
1618577574151,441,api/occupations,200,OK,PELAPORAN STAGING 1-84,text,true,,2383,668,10,10,https://pikobar-pelaporan-api.digitalservice.id/api/occupations,441,0,0
1618577574265,464,api/areas/district-city,200,OK,PELAPORAN STAGING 1-87,text,true,,2393,676,10,10,https://pikobar-pelaporan-api.digitalservice.id/api/areas/district-city,461,0,0
1618577574399,417,api/users/info,200,OK,PELAPORAN STAGING 1-89,text,true,,1749,667,10,10,https://pikobar-pelaporan-api.digitalservice.id/api/users/info,417,0,0
1618577574474,405,api/areas/district-city,200,OK,PELAPORAN STAGING 1-88,text,true,,2401,676,10,10,https://pikobar-pelaporan-api.digitalservice.id/api/areas/district-city,402,0,0
1618577574071,894,api/areas/hospital,200,OK,PELAPORAN STAGING 1-86,text,true,,179795,685,10,10,https://pikobar-pelaporan-api.digitalservice.id/api/areas/hospital?rs_jabar=true,447,0,0
1618577574592,433,api/country,200,OK,PELAPORAN STAGING 1-84,text,true,,9543,664,10,10,https://pikobar-pelaporan-api.digitalservice.id/api/country,433,0,0
1618577574167,1011,api/map?kode_kab=32.17,200,OK,PELAPORAN STAGING 1-82,text,true,,583604,690,10,10,https://pikobar-pelaporan-api.digitalservice.id/api/map?kode_kab=32.17&kode_kab=32.17,444,0,0
1618577566465,8712,LOAD TEST ENDPOINT STAGING,200,"Number of samples in transaction : 10, number of failing samples : 0",PELAPORAN STAGING 1-82,,true,,994594,7101,10,10,null,7242,2,537
1618577574034,1195,api/map?kode_kab=32.17,200,OK,PELAPORAN STAGING 1-80,text,true,,583605,690,9,9,https://pikobar-pelaporan-api.digitalservice.id/api/map?kode_kab=32.17&kode_kab=32.17,477,0,0
1618577564464,10758,LOAD TEST ENDPOINT STAGING,200,"Number of samples in transaction : 10, number of failing samples : 0",PELAPORAN STAGING 1-80,,true,,994608,7101,9,9,null,8868,7,621
1618577574816,424,api/areas/sub-district/32.17,200,OK,PELAPORAN STAGING 1-89,text,true,,2526,681,8,8,https://pikobar-pelaporan-api.digitalservice.id/api/areas/sub-district/32.17,424,0,0
1618577574046,1287,api/cases,200,OK,PELAPORAN STAGING 1-85,text,true,,209550,861,8,8,https://pikobar-pelaporan-api.digitalservice.id/api/cases?end_date=&verified_status=verified&final_result=&address_village_code=&sort=updatedAt%3Adesc&address_subdistrict_code=&address_district_code=32.71&search=&stage=&limit=100&page=1&status=&start_date=,971,0,0
1618577575026,429,api/cases-summary,200,OK,PELAPORAN STAGING 1-84,text,true,,1118,788,8,8,https://pikobar-pelaporan-api.digitalservice.id/api/cases-summary?address_district_code=32.17&max_date=&min_date=&final_result=&address_village_code=&address_subdistrict_code=&status=,428,0,0
1618577574499,1305,api/map?kode_kab=32.17,200,OK,PELAPORAN STAGING 1-83,text,true,,583601,690,9,9,https://pikobar-pelaporan-api.digitalservice.id/api/map?kode_kab=32.17&kode_kab=32.17,531,0,0
1618577567465,8334,LOAD TEST ENDPOINT STAGING,200,"Number of samples in transaction : 10, number of failing samples : 0",PELAPORAN STAGING 1-83,,true,,994596,7101,9,9,null,6286,5,398
1618577574879,938,api/areas/hospital,200,OK,PELAPORAN STAGING 1-88,text,true,,179781,685,8,8,https://pikobar-pelaporan-api.digitalservice.id/api/areas/hospital?rs_jabar=true,415,0,0
1618577575334,491,api/occupations,200,OK,PELAPORAN STAGING 1-85,text,true,,2393,668,8,8,https://pikobar-pelaporan-api.digitalservice.id/api/occupations,490,0,0
1618577574465,1367,api/login,200,OK,PELAPORAN STAGING 1-90,text,true,,1917,721,8,8,https://pikobar-pelaporan-api.digitalservice.id/api/login,1367,0,387
1618577574729,1155,api/areas/hospital,200,OK,PELAPORAN STAGING 1-87,text,true,,179787,685,8,8,https://pikobar-pelaporan-api.digitalservice.id/api/areas/hospital?rs_jabar=true,414,0,0
1618577575241,832,api/areas/district-city,200,OK,PELAPORAN STAGING 1-89,text,true,,2399,676,8,8,https://pikobar-pelaporan-api.digitalservice.id/api/areas/district-city,830,0,0
1618577575832,406,api/users/info,200,OK,PELAPORAN STAGING 1-90,text,true,,1757,667,8,8,https://pikobar-pelaporan-api.digitalservice.id/api/users/info,406,0,0
1618577574966,1423,api/cases,200,OK,PELAPORAN STAGING 1-86,text,true,,209555,861,8,8,https://pikobar-pelaporan-api.digitalservice.id/api/cases?end_date=&verified_status=verified&final_result=&address_village_code=&sort=updatedAt%3Adesc&address_subdistrict_code=&address_district_code=32.71&search=&stage=&limit=100&page=1&status=&start_date=,1099,0,0
